,review,Complain Label,Emotion,Sentiment,Severity
25,गड़बड़ उतना अच्छा मुझे फोन उपयोग नफरत है। मीडिया लोड सका। फोन डिस्प्ले कमजोर सच हफ्ता गिर जाता हैऔर टूट जाता हैअब मुझे सैमसंग क्वालिटी बिल्कुल विश्वास होतायह चाइनीज फोन खराब,1,sadness,negative,accusation
26,"nice product .....must purchase . first......stpl exclusive online done great job .....i got fresh handset (phone manufactured current month).....and also seal broken......it's totally fresh , untouched, unopened ............best phone price , knox security + amoled like screen + nice camera +best battery backup",0,joy,positive,non-complaint
27,20MBs লিখতে 30MBs রিড। দেখানো পণ্য বিতরণ সম্পূর্ণ ভিন্ন প্রদর্শিত পণ্য 90MBs লেখা 100MBs রিড স্যামসাং ওয়েবসাইট অনুযায়ী। পণ্য বিতরণ 20MBs লেখা 100MBs রিড ছবি সংযুক্ত প্রকৃত পণ্যের গতি 20MBs লেখা 30MBs রিড ধীর। একাধিকবার পরীক্ষা নিশ্চিত নই জাল।,1,sadness,negative,disapproval
28,सर्वात वाईट उत्पादन सर्वात वाईट उत्पादन मेमरी कार्ड सॅमसंग 128 GB विकत घेतले 9 महिन्यांनंतर करणे थांबले,1,sadness,negative,disapproval
29,good . good,0,joy,positive,non-complaint
30,awesome!! . nice working fine!!,0,joy,positive,non-complaint
31,20 शानदार सैमसंग 5जी फोन एक। अगर मुझसे पूछें अगर सैमसंग ब्रांड 5G तलाश फोन लायक है। सैमसंग FastestMonster बेहतरीन स्पेक्स धधकते तेज़ स्नैपड्रैगन 750G प्रोसेसर लैस। लंबे समय चलने वाली 5000 mAh बैटरी शानदार फोटो वीडियो कैप्चर बहुमुखी 48MP क्वाड कैमरा है। चूंकि सिर्फ एचडी है। अंत मुझे इनस्क्रीन सुरक्षा पसंद क्योंकि उम्मीद मुताबिक करेगा शायद मुझे आदत क्योंकि मैं पहली बार कोशिश हूं हालांकि मैं अंधा व्यक्ति हूं।,0,joy,positive,non-complaint
32,great sd speed good performance also good... . love good.. purchase companies sd card's use longer special large sd card like 32 64 128 samsung evo plus great...,0,joy,positive,non-complaint
33,work . hmmmm ........keeping aside writing n reading speed ...... since bought mere storage ....... product good n working satisfactory,0,joy,positive,non-complaint
34,great . really strong e chance break force normal perfect dimensions fits properly value pretty cheaper u go samsung official store sell price actually printed cheaper,0,joy,positive,non-complaint
35,warranty service corrupted. . product til worked...... corrupted took samsung care warranty ..they asked take product almost 200 km house....... guys pls stay aware...,1,sadness,negative,accusation
36,good . good,0,joy,positive,non-complaint
37,waste . heavy sticking even 10 days dash board,1,sadness,negative,disapproval
38,ଏହାର ଭଲ କରେ  । ଏହାର ଭଲ କରେ  ସଠିକ୍ କ୍ଷମତା ଦେଖାଏ  GoPro 7 କଳା ରେକର୍ଡିଂ ଯଥେଷ୍ଟ ଦ୍ରୁତ ମନେହୁଏ ,0,joy,positive,non-complaint
39,ହଁ 32GB ସାମଗ୍ରିକ ଭାବରେ ଭଲ ଉତ୍ପାଦ  ଏକ sd କାର୍ଡ ଆଡାପ୍ଟର ପାଇଛି  ମୋ ଭଲ ଡିଲ୍  ଭବିଷ୍ୟତରେ ପରି ଏହାର ସ୍ଥାୟୀତ୍ୱ ପରୀକ୍ଷା କରିବାକୁ ମୋ ଗୋଟିଏ ତାରକା କମ୍ ,0,joy,positive,non-complaint
40,"phone good price range compared chinese phone. . pros: triple camera setup-64mp (f 1.8) main camera + 12mp (f2.2) ultra wide camera+ 5mp (f2.4) depth camera 32mp (f2.2) front camera nice super amoled plus- infinity display, fhd+ resolution 1080 x 2400 (fhd+) pixels protected gorilla glass nice features qualcomm sdm 778g octa core 2.4ghz,1.8ghz processor 11 band support true 5g experience good.till date face hanging issues. every thing running smoothly. using 10 days. monster 5000 mah battery good one day backup u play game watching movies may reduce 16 hr less depend u use ur phone. android v11.0, one ui 3.1 operating system latest android one ui 3.1 good. cons: sim 1 + hybrid (sim microsd) sim slots micro sd.but ok storage enough u use sim. little bit heating issue charging playing games managed. biggest problem ear phone jack handset.you buy wireless earphone ordered time showing 3.5mm audio jack amazone website. corrected 3 days people get know audio jack. plastic back cover good compare previous models android like m51. price reduced 1 2k could best. charger 15 w aday every brand giving atleast 25 upper w charger. took 1 half hr get full charge. note:if looking camera phone u go natural color phography range uses sony camera. many brand using samsung camera. u r looking game high processor option too.",1,joy,positive,disapproval
41,कैमरा . media could loaded. सैमसंग m12 कैमरा क्वालिटी बैटरी बैकअप अच्छा अच्छा मोबाइल सिर्फ ओन्ली फोर कैमरा क्वालिटी,1,sadness,negative,disapproval
42,"best budget 5g phone samsung lover . actually muje 4.5 star dene hai kyuki samsung ne phone ke sath 25w ka charger nahi diya hai. samsung ko apni galti sudhar ne ke liye samsung store se buyer ko free charger dena chahie. baki phone ki camera quality bahut achchi hai bahot sare option hai, smuthness kamal ki hai, user interface one best hai, ye phone kharid ne ka dusra reason ye hai ki ye phone ki company chinese nahi hai.",1,joy,positive,disapproval
43,કામગીરીમાં સરળતા SD કાર્ડ એડેપ્ટર સાથે આકર્ષક લાગે,0,joy,positive,non-complaint
44,far good :thumbs_up_medium-light_skin_tone: . media could loaded. using work phone.,1,sadness,negative,disapproval
45,अच्छा फोन कैमरे निराश। फ़ोन सब अच्छा दिन उजाले कैमरा ठीक मतलब अगर प्रकाश स्रोत सामना आपकी तस्वीर अच्छी होगी रात तस्वीरें खराब आती अन्य समस्या मैं निराश क्योंकि कंपनी कहना सच 48MP कैमरा क्वाड कैमरा सेटअप तस्वीरें मेरे रेडमी 9 प्राइम तस्वीरों चिन्हित जिसमें 13MP क्वाड कैमरा सेटअप m12 कहीं बेहतर,1,sadness,neutral,disapproval
46,"budget phone samsung . good phone people generally use mobile social networking calling. camera - great prices, 48 mp quad cam.. well done. dual sim dedicated sim card slot... great. overall nice product parents.",0,joy,positive,non-complaint
47,nice product . easy install. good storage capacity,0,joy,positive,non-complaint
48,software issues . phone gifted user phone following complain. using 15 days now. 1.sometime dialing stops hangs while. 2. sometime u cannot disconnect call. 3. span 15 days phone hanged 4 times 4. feel software issue. 5. small problems using phone cannot explain.,1,sadness,negative,disapproval
49,ଭଲ ଉତ୍ପାଦ  ଭଲ,0,joy,positive,non-complaint
50,जय जय महाराष्ट्र . रेडमी नाईन मोबाईल आमच्या मम्मीला गिफ्ट त्यांना आवडला फोन परफॉर्मन्स खूप छान डिस्प्ले बॅटरी लाईफ छान व्हॅल्यू फॉर मनी,0,joy,positive,non-complaint
51,camera bad . मोबाइल खरीदे वरना आपके पैसे पानी जाएंगे क्यू मोबाइल इंटरनेट बोहोत स्लो चलता नेटवर्क बोहोत कम बोहोत घटिया मोबाइल कैमेरा बोहोत खराब,1,sadness,negative,disapproval
52,"gamers, thumbs normal users . normal user quit good, wants use gaming purpose better choice mark point. getting slow sometime, speak bettery life yes, performing well.",1,other,neutral,no explicit reproach
53,"powerhouse . bettery life good smooth functioning, camera upto mark 48mp camera is,but unbeatable price awesome phone, heating problem too,but overall nice phone",1,sadness,neutral,disapproval
54,good phone performance smooth . liked phone battery last long even tool 6gb ram version phone little sluggish performance may chipset great performing daily task. one ui great even 120 refresh rate found phone performance upto expectations comparing old redmi phone liked unnecessary apps getting installed like redmi. camera great battery life awesome.,1,sadness,negative,disapproval
55,great deal 128 gb class card . great buy compatible samsung devices currently using note 8 work flawlessly good read write speed. altought class 10 sometimes photos takes time open gallery take time copy data computer sd card. still recommend available great price.,0,sadness,neutral,disapproval
56,सैमसंग ब्रांड किफायती फोन। मीडिया लोड सका। फिंगरप्रिंट रीडर शार्प है। बैटरी लाइफ अच्छी है। कम उपयोग लगभग 3 दिनों चलता है। कैमरा बढ़िया मैक्रो कैमरा अच्छा 48 एमपी कैमरा अच्छा अच्छी है। बस फोन थोड़ा भारी है। अच्छा। स्क्रीन रेजोल्यूशन बढ़िया है।,1,sadness,negative,disapproval
57,वापराच्या आठवड्यात कार्ड खराब  जेव्हा मला उत्पादन मिळाले तेव्हा चांगले करत आठवड्याच्या वापरानंतर गरम होऊ लागले तेच इतर डिव्हाइसमध्ये तपासले सामान्यत माझ्या कॅमेर्‍यासाठी विकत घेतले जिथे कार्ड समर्थित दर्शविते स्वरूपित करण्याचा प्रयत्न परंतु व्यर्थ उत्पादन वापराच्या आठवड्यात खराब,1,sadness,negative,disapproval
58,"worth . thinking reading benefits samsung evo cards always bought kingston ( price) time finally bought this, trust me, using daughter's fire tablet literally boosted speed. sure works really computers industry understand hard drives plays important role device speed. really works. never regret spending little this.",0,joy,positive,non-complaint
59,ಸಾಮಾನ್ಯ ಕಾರ್ಡ್‌ನಂತೆ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ ಸಾಮಾನ್ಯ ಕಾರ್ಡ್‌ನಂತೆ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ,0,sadness,positive,non-complaint
60,pin exiter tak nahi dete . accessories ke naam pe kuch nahi exiter pin tak nahi dete.,1,sadness,negative,disapproval
61,"3mths n looks absolute failure. . regretful encounter wth m12 order , dated 14 th aug '21. gifted product sister, 3 mths today. display working, unable start n poor battery performance. showed samsung gallery review said mother board needs b changed whc cost 8 k. please justice lil investments make around. kindly oblige, acknowledge n respond need full replacement consider. team amazon n collabs.",1,sadness,negative,blame
62,phone seems value money. . fall price phone introduced. seems value money reality check far different. camera sucks due absence ai stabilization. 5g feature useless till time 5g bands introduced region.,1,sadness,negative,disapproval
63,samsung love . samsung beat,0,joy,positive,non-complaint
64,warranty . purchased mobile within days display got damaged easy move only. warranty replace one,1,sadness,negative,no explicit reproach
65,ok . received product small dent/mark edge... that's expected amazon opened product started using... day... battery sustain day despite charging 100%.,1,sadness,negative,accusation
66,एमआईसी ठीक है। MIc ठीक मैंने M31 खरीद लिया वही समस्या मोबाइल है। मेरी गलती भूल गई सैमसंग अच्छा विश्वास श्रृंखला फोन खरीदना अच्छी गुणवत्ता बनाए रखते हैं। बाजार लॉन्च उत्पाद परीक्षण काफी सुधार जरूरत,1,sadness,negative,accusation
67,શ્રેષ્ઠ પ્રદર્શન સરસ લખવા વાંચવાના સમય વિશે ટિપ્પણી કરવા કંઈ પૈસા બ્રાન્ડ સેમસંગ તરફથી શ્રેષ્ઠ મૂલ્ય,0,joy,positive,non-complaint
68,"good mobile . కెమెరా పరవాలేదు, బ్యాటరీ రోజు వస్తోంది నార్మల్ వాడే వాళ్లకి, గేమ్స్ ఆడేవాళ్లకి హాఫ్ డే వస్తుంది. . 120hz refresh rate display touch స్మూత్ ఉంది. display bright ness తక్కువగా ఉంది, s20 తో పోలిస్తే,",1,sadness,negative,disapproval
69,औसत। औसत कैमरा क्वालिटी 48 mp जितनी अच्छी सेंसर संतोषजनक है। बैटरी लाइफ अच्छी अच्छा है।,1,sadness,negative,disapproval
70,डिस्प्ले ब्राइटनेस कम टच स्मूथ है। डिस्प्ले टच स्क्रीन कैमरा क्वालिटी खराब,1,sadness,negative,disapproval
71,"big cheat amazon prime customers . amazon initially quoted rs.28999 8gb ram variant launch day. also stated advantage prime customers. later days sale open large customers, price got reduced rs.27999. prime customer paid rs.1000 extra. big misleading amazon lost trust brand. phone review: pros: - super amoled display major highlight. smooth crystal clear - battery life decent 5000 mah battery - speaker quality decent cons: - camera quality better - 3.5mm audio jack - sterio speakers - fast charging power adapter included box eventhough phone supports fast charging - phone gets warm charging - screen finger print scanner.",1,sadness,negative,blame
72,खरीदने लायक।  उन्नत सुविधाओं सैमसंग उत्कृष्ट मोबाइल उपकरण। मैं 100 संतुष्ट हूँ।,0,joy,positive,non-complaint
73,खुप छान Amazon वरून 128gb मेमरी कार्ड विकत घेतले खूप छान 116 gb,1,joy,positive,disapproval
74,"average product, economical . average product, economical",0,sadness,positive,no explicit reproach
75,"good battery memory . battery upto mark, camera quality improved. magnetic sensors & infra red sensors available. over-all best phone budget",1,other,neutral,disapproval
76,चार्ज समय हीटिंग इश्यू। ओके ओके टाइप फोन हैलेकिन मैं आपको अन्य ब्रांड मोबाइल फोन खरीदने सुझाव दूंगाजो मूल्य सीमा उससे थोड़ा विश्वसनीय भरोसेमंद फैब फोन हैं।,1,sadness,negative,disapproval
77,M12 10K प्राइस रेंज अच्छा है। मीडिया लोड सका। कीमत फिंगरप्रिंट रीडर बैटरी लाइफ कैमरा क्वालिटी काफी अच्छी है। हालाँकि क्योंकि LCD आधारित डिस्प्ले डिस्प्ले क्वालिटी उतनी बढ़िया है। लागत देखते अच्छा है। 90 हर्ट्ज रिफ्रेश रेट अनुभव है।,1,sadness,negative,disapproval
78,मेरे उपयोग अब खराब फोन। कैमरा वीडियो गुणवत्ता इतनी अच्छी है। फ़ोन उपयोग समय धीमापन अनुभव करना। फोन हैंग मैं ईमानदारी सुझाव देता हूं सैमसंग मिड रेंज फोन खरीदें। मैं फोन खराब अनुभव सामना हूं,1,sadness,negative,disapproval
79,"device perfect totality features, processing handing. . device total package. light weight gives handling ease . side finger print sensor gives ease. processor perfect quick camera good. gaming quality good battery duration good display brilliant. total package good pricing. better many phones segment.",0,joy,positive,non-complaint
80,"best phone complete package . camera quality awesome, battery runs days single charge,one ui smooth perfect, amoled screen 120hz superb, fingerprint scanner super fast",0,joy,positive,non-complaint
81,"still glitchy good , hated using phone . media could loaded. phone display weak really week ...it falls one time ...and breaks ...now believe samsung's quality ...it worse chinese phone ..",1,sadness,negative,accusation
82,अच्छा फोन। मीडिया लोड सका। मैं फोन पिछले 3 दिनों इस्तेमाल हूं। मुझे खुशी पिछले 3 दिनों कैमरा क्वालिटी अच्छी बैटरी लाइफ अच्छी बिल्ट क्वालिटी शानदार है। पैसे मूल्य बिंदु मूल्य। वन पॉइंट कंपनी प्रदान रही बैक कवर स्क्रीन गार्ड 8 10,0,sadness,negative,disapproval
83,বিভ্রান্তিকর তথ্য ধরনের প্রতারণা প্রতারণা। মিডিয়া লোড যায়নি পণ্যের বিবরণে দাবি রাইটিং স্পিড৯০ এমবিপিএস রিডিং স্পিড১০০ মেগাবাইট পার সেকেন্ড। আপলোড ভিডিওটি স্বব্যাখ্যামূলক। পড়ার গতি 14 এমবিপিএসের কম লেখার গতি 18 এমবিপিএসের কম। শকিং ধরনের বিভ্রান্তিকর প্রতিরোধ ইমেজসুনাম রক্ষা অ্যামাজনকে অবশ্যই হবে।,1,surprise,negative,blame
84,M12 स्पीकर इश्यू वाईफाई इश्यू। मैंने अलगअलग डीलरों सैमसंग एम 12 फोन खरीदे हैंइस काले फोन मैंने ऑर्डर जिसमें स्पीकर समस्या खराब वाईफाई कनेक्टिविटी रेंज है। मैं वारंटी अंतर्गत हूं मैं निष्पादित असमर्थ हूं,1,sadness,negative,accusation
85,wonder phone one must possess multiple usages. . wonderful product. power packed. handy. easy operate. light weight. value mon ey. excellent phone ever come across. powerful battery lasting long recharges. used whole day still battery dropped little. amazing. heating battery even long continuous usage. sleek thin design. large ram rom. delivery amazon time. overall five stars without hesitation.,0,joy,positive,non-complaint
86,सैमसंग रूप सब अच्छा आधे घंटे हीटिंग समस्या छोड़कर। फिंगर प्रिंट रीडर सुरक्षा उतना अच्छा क्योंकि कम जगह फोन क्षेत्र सेंसिंग तकनीक अच्छी बाकी कैमरा ठीक विनिर्देशों अनुसार अच्छा बैटरी अच्छी है।,1,sadness,negative,disapproval
87,बजट फोन सब ज्यादा है। कीमत लगभग सब मैंने पूरे सितारे दिए क्योंकि फोन साइलेंस मोड रखते अलार्म सुन सकते। मेरे दैनिक जीवन प्रभावित,1,sadness,negative,disapproval
88,"overall bad phone. . picked budget category day day needs, well i'm disappointed choice great package offer price point keeping needs mind. however phone sluggish response, looking performance phone kindly stay away disappoint you. hope review helps prospective buyers.",1,sadness,negative,disapproval
89,honest opinio . con: 1.it heavy 2.refresh rate per specifications. 3.camera quality @per specifications 48 megapixcel. 4.display average pro 1.battery life brilliant 2.voic quality ok,1,sadness,negative,disapproval
90,"phone great price range 11k. . phone great price range under11k . phone good camera, battery awesome 90 hz display great pros phone gyroscopic sensor price range also price range provide us good display.",1,sadness,negative,disapproval
91,మంచి వేగంతో నాణ్యమైన నిల్వ ఎంపికthumbsup  thumbsupచాలా మంచి వేగవంతమైన ఉత్పత్తి pinchinghand కొంచెం ఖరీదైనది thumbsupఅయితే సగటు కంటే ఎక్కువ,0,joy,positive,disapproval
92,फ़िगर प्रिंट सामने चाहिये साइड कवर लगने सपोर्ट नही . media could loaded. samsung नाम मुताबिक कैमरा क्वालिटी low चार्जिंग अच्छा। सिर्फ good,1,sadness,negative,disapproval
93,"price around rs.750 64 gb card, would buy again. . 3 things:- 1. faster class 10 grade 1 samsung card. 2. price around rs.750 .. price 32gb grade 1 class 10 samsung. 3. else, micro sd card. micro sd card supposed do.",0,joy,positive,non-complaint
94,storage capacity 128gb card getting... . dislike - storage capacity upto mark. getting 119gb instead 128gb. think i've pay extra 200-300 rs. remaining space amazon :angry_face_with_horns::angry_face_with_horns::angry_face_with_horns: like - nothing say... easy install :winking_face_with_tongue:,1,sadness,negative,disapproval
95,राक्षस बैटरी। मिलाकर अच्छा फोन जिसमें बेहतर बैटरी लाइफ फिंगरप्रिंट सेंसर अच्छा कैमरा क्वालिटी सुधार चाहिए खासकर सेल्फी कैम। एचडी डिस्प्ले एमोलेड डिस्प्ले था। मिलाकर अच्छा बजट फोन प्रोसेसर काफी कम है।,0,other,neutral,disapproval
96,बुरा विकल्प है। पसंद लुक अच्छा कैमरा अच्छा उपयोगकर्ता अनुकूल नापसंद Wifi 5g उपलब्ध 6GB RAM प्रदर्शन वास्तव अच्छा ले जाने काफी भारी है। लागत अच्छा नेटवर्क निराश।,1,sadness,negative,disapproval
97,"good phone! . probbaly best phone segment. highly recommended. performance really good unlike samsung phones, really good processor give lag free experience. go it.!",0,joy,positive,non-complaint
98,నిజమైన మైక్రోస్డ్ కార్డ్ మంచి మైక్రో SD కార్డ్ నేను దీన్ని ఇంతకు ముందు ఫ్లిప్‌కార్ట్ నుండి కొనుగోలు చేసాను వేగవంతమైన డెలివరీ కారణంగా ఈసారి Amazon నుండి కొనుగోలు చేయబడింది దురదృష్టవశాత్తు మరుసటి రోజు ధర రూ50 తగ్గింది ఏది ఏమైనప్పటికీ ఇది నిజమైనది బాగా పని చేస్తుంది,0,sadness,positive,non-complaint
99,bad display quality . guys 3 days purchase sitting floor mobile fall hand. around one half - 2feet gap. display broken worst case. think quality also,1,sadness,negative,disapproval
100,अच्छा। अच्छा ठोस विशेष रूप बैटरी,0,joy,positive,non-complaint
101,poor quality . item problem created 6months. carona time. shall able go service centre. purchased another phone samsung phone sold second hand.,1,sadness,negative,disapproval
102,buy phone u want good camera . die hard fan samsung difficult write review.camera quality: say 48mp even look like 13mp mom's samsung m10s camera quality screen quality far better phone. regret buying phone high price booked first day launch came samsung brand. generally go reviews first time ordered launch day becoz reliability.i regret decision made. recommend phone anyone.,1,sadness,negative,disapproval
103,"good phone 30k . overall performance 9 days usage good. camera, battery, display, performance great. audio jack option phone cannot connect audio jack via usb connector audio option developer mode.",1,joy,positive,disapproval
104,fake / defective product . looks like fake product. dint fit phones. slightly thicker usual hence issue. return window also closed could realize.,1,sadness,negative,accusation
105,"budget phone . tight budget,then definitely go it. u never regret this.. good per price point. u say little bit received price point..",0,joy,positive,non-complaint
106,ફાળવેલ સ્ટોરેજ 119Gb 6 મહિનાથી વાપરી હજુ દૂષિત નકલ કરવાની ઝડપ સારી,0,sadness,positive,non-complaint
107,"definitely buy . best value money. read write speeds advertised. love , using 4 months. works excellently day. original samsung product fake chinese ones.",0,joy,positive,non-complaint
108,"value money samsung mobile phone . best option 15k budget. ticks boxes like storage, memory display. good built quality samsung.",0,joy,positive,non-complaint
109,good . good,0,joy,positive,non-complaint
110,"moderate quality . bought phone weeks ago found heavy terms weight. additionally, camera quality good. battery also lasts day almost 1 hour talk time. according me, good value money. expecting better camera quality battery backup.",1,sadness,negative,disapproval
111,वि खराब। मीडिया लोड सका। मेरे प्यारे भाई मोबाइल मत खरीदो।,0,sadness,negative,disapproval
112,worst . worst mobile 1 display quality worst mobile feels heavy 3 performance low 4 camera quality worst together disappointing product samsung,1,sadness,negative,disapproval
113,nice . serves purpose,0,joy,positive,non-complaint
114,అసలైనది నకిలీ ఉన్న నిల్వను చూపు 643  నేను samsung evoplus 2020ని కొనుగోలు చేసాను మెమరీని చూపించు 644 643 ఈ కార్డ్ అసలైనదో నకిలీదో తెలియదు కానీ వేగం చాలా బాగుంది ,0,sadness,negative,no explicit reproach
115,superb . way product look installation good,0,joy,positive,non-complaint
116,વિશ્વસનીય ઝડપી કાર ડેશકેમમાં તેનો ઉપયોગ કરીનેસતત 1080p વિડિયો રેકોર્ડ સેન્ડીસ્ક કિંગસ્ટન સેમસંગ કાર્ડ જાઓ વિશ્વસનીય,0,sadness,positive,non-complaint
117,कठोर धातु प्रयोग है। मुझे उत्पाद पसंद उत्पाद निर्माण मजबूत भारी सुंदरता अच्छी है। फिट मेरी टाटा नेक्सन सही है। मुझे लगता टाटा कार पुश बटन स्टार्ट अच्छी फिट होगी। मिलाकर अंधी खरीदारी बड़ी हां है।,0,joy,positive,non-complaint
118,battery pack speed. . really product value money...with good battery pack...tremendous speed...good sound quality...good camera...ultra fast charging...handy too...,0,joy,positive,non-complaint
119,"worst quality eligible one star also . dirty quality,most worst mobile mobile world. worst screen dull display worst camera quality.heating issue calling. sar value also waste money. m02s good choice this.",1,disgust,negative,disapproval
120,"product made china . made china product. website mentioned anything web page , box written made philippines ,but opened memory card written made china. clear case fool made amazon",1,anger,negative,blame
121,good service . first bought sd card card defective go replacement day replaced got new sd card card working properly write right spped preety well expected overall nice product thanks nice service amazon .,0,joy,positive,no explicit reproach
122,"value money . think product bad. want take lot selfi want use phone call, listen music watch videos - try m12 . yes phone looks slightly heavy overall good price range",1,sadness,negative,disapproval
123,good budget phone! . camera quality wondering claiming 48mp. previously used samsung j7 max 16mp take better pictures. battery good. processor good normal usage. fingerprint sensor good. overall good budget phone normal usage.,1,surprise,negative,disapproval
124,amazing like :smiling_face_with_smiling_eyes: . amazing nice use...:red_heart::smiling_face_with_smiling_eyes:,0,joy,positive,non-complaint
